STATE,STATENAME,ST_CASE,VEH_NO,PVEHICLESF,PVEHICLESFNAME
5,Arkansas,50533,2,0,None
5,Arkansas,50535,2,0,None
5,Arkansas,50535,3,0,None
5,Arkansas,50568,2,0,None
6,California,60027,2,0,None
6,California,60070,2,0,None
6,California,60081,2,0,None
6,California,60110,2,0,None
6,California,60110,3,0,None
6,California,60110,4,0,None
6,California,60157,2,0,None
6,California,60157,3,0,None
6,California,60157,4,0,None
6,California,60158,2,0,None
6,California,60158,3,0,None
6,California,60194,2,0,None
6,California,60237,2,42,"Other Working Vehicle (Not Construction, Maintenance, Utility, Police, Fire, or EMS Vehicle)"
6,California,60237,3,0,None
6,California,60265,2,0,None
6,California,60283,2,0,None
6,California,60283,3,0,None
6,California,60320,2,0,None
6,California,60427,1,0,None
6,California,60446,2,0,None
6,California,60511,2,0,None
6,California,60516,2,0,None
6,California,60543,2,0,None
6,California,60543,3,0,None
6,California,60595,2,0,None
6,California,60595,3,0,None
6,California,60622,2,0,None
6,California,60644,2,39,"Highway Construction, Maintenance, or Utility Vehicle, In Transport (Inside or Outside Workzone)"
6,California,60652,2,0,None
6,California,60672,2,0,None
6,California,60684,2,0,None
6,California,60714,2,0,None
6,California,60736,2,0,None
6,California,60737,3,0,None
6,California,60739,2,0,None
6,California,60785,3,0,None
6,California,60827,2,0,None
6,California,60841,3,0,None
6,California,60841,4,0,None
6,California,60853,2,0,None
6,California,60853,3,0,None
6,California,60867,2,0,None
6,California,60879,2,0,None
6,California,60915,2,0,None
6,California,60930,2,0,None
6,California,60938,2,0,None
6,California,60949,2,0,None
6,California,60978,2,0,None
6,California,61006,2,0,None
6,California,61006,3,0,None
6,California,61057,2,0,None
6,California,61057,3,0,None
6,California,61057,4,0,None
6,California,61081,2,0,None
6,California,61083,2,0,None
6,California,61083,3,0,None
6,California,61086,2,0,None
6,California,61096,2,0,None
6,California,61121,2,0,None
6,California,61121,3,0,None
6,California,61121,4,0,None
6,California,61121,5,0,None
6,California,61121,6,0,None
6,California,61121,7,0,None
6,California,61122,2,0,None
6,California,61123,2,0,None
6,California,61141,4,0,None
6,California,61141,5,0,None
6,California,61173,2,0,None
6,California,61173,3,0,None
6,California,61173,4,0,None
6,California,61190,3,0,None
6,California,61221,2,0,None
6,California,61232,2,0,None
6,California,61249,2,0,None
6,California,61310,2,0,None
6,California,61347,2,0,None
6,California,61406,3,0,None
6,California,61406,4,0,None
6,California,61453,2,0,None
6,California,61485,5,0,None
6,California,61487,2,0,None
6,California,61503,2,0,None
6,California,61543,2,0,None
6,California,61549,2,0,None
6,California,61562,3,0,None
6,California,61562,4,0,None
6,California,61562,5,0,None
6,California,61572,2,0,None
6,California,61574,3,0,None
6,California,61574,4,0,None
6,California,61574,5,0,None
6,California,61579,3,0,None
6,California,61592,2,0,None
6,California,61618,2,0,None
6,California,61618,3,0,None
6,California,61626,2,0,None
6,California,61684,3,0,None
6,California,61706,2,0,None
6,California,61706,3,0,None
6,California,61821,2,0,None
6,California,61826,2,0,None
6,California,61849,2,0,None
6,California,61892,2,0,None
6,California,61931,2,0,None
6,California,61931,3,0,None
6,California,61960,2,0,None
6,California,61960,3,0,None
6,California,61960,4,0,None
6,California,61960,5,0,None
6,California,61966,2,0,None
6,California,62007,2,0,None
6,California,62020,2,0,None
6,California,62053,2,0,None
6,California,62076,2,0,None
6,California,62187,4,0,None
6,California,62193,3,0,None
6,California,62202,2,0,None
6,California,62212,2,0,None
6,California,62212,3,0,None
6,California,62249,2,0,None
6,California,62288,2,0,None
6,California,62297,3,0,None
6,California,62297,4,0,None
6,California,62367,2,0,None
6,California,62385,2,0,None
6,California,62414,3,0,None
6,California,62429,2,0,None
6,California,62434,3,0,None
6,California,62455,2,0,None
6,California,62462,2,0,None
6,California,62462,3,0,None
6,California,62463,3,0,None
6,California,62463,4,0,None
6,California,62491,2,0,None
6,California,62494,2,0,None
6,California,62494,3,0,None
6,California,62494,4,0,None
6,California,62494,5,0,None
6,California,62494,6,0,None
6,California,62494,7,0,None
6,California,62494,8,0,None
6,California,62494,9,0,None
6,California,62494,10,0,None
6,California,62494,11,0,None
6,California,62505,2,0,None
6,California,62505,3,0,None
6,California,62517,2,0,None
6,California,62538,3,0,None
6,California,62550,2,0,None
6,California,62557,2,0,None
6,California,62557,3,0,None
6,California,62585,3,0,None
6,California,62608,3,0,None
6,California,62608,4,0,None
6,California,62608,5,0,None
6,California,62617,2,0,None
6,California,62617,3,0,None
6,California,62694,2,0,None
6,California,62748,2,32,Vehicle Registration for Handicapped
6,California,62755,2,0,None
6,California,62760,2,0,None
6,California,62769,2,0,None
6,California,62770,2,0,None
6,California,62791,2,0,None
6,California,62813,2,0,None
6,California,62815,2,0,None
6,California,62816,2,0,None
6,California,62822,3,0,None
6,California,62822,4,0,None
6,California,62822,5,0,None
6,California,62822,6,0,None
6,California,62844,2,0,None
6,California,62844,3,0,None
6,California,62844,4,0,None
6,California,62858,2,0,None
6,California,62858,3,0,None
6,California,62879,2,0,None
6,California,62905,3,0,None
6,California,62962,2,0,None
6,California,62962,3,0,None
6,California,62962,4,0,None
6,California,62964,3,0,None
6,California,63032,3,0,None
6,California,63032,4,0,None
6,California,63080,2,0,None
6,California,63088,2,0,None
6,California,63097,2,0,None
6,California,63132,3,0,None
6,California,63138,2,0,None
6,California,63138,3,0,None
6,California,63138,4,0,None
6,California,63138,5,0,None
6,California,63138,6,0,None
6,California,63145,2,0,None
6,California,63171,2,0,None
6,California,63171,3,0,None
6,California,63172,2,0,None
6,California,63172,3,0,None
6,California,63172,4,0,None
6,California,63184,2,0,None
6,California,63217,2,0,None
6,California,63218,2,0,None
6,California,63218,3,0,None
6,California,63218,4,0,None
6,California,63224,3,0,None
6,California,63224,4,0,None
6,California,63246,3,0,None
6,California,63277,2,0,None
6,California,63294,2,0,None
6,California,63295,3,0,None
6,California,63295,4,0,None
6,California,63304,2,0,None
6,California,63304,3,0,None
6,California,63309,2,0,None
6,California,63309,3,0,None
6,California,63324,2,0,None
6,California,63324,3,0,None
6,California,63324,4,0,None
6,California,63355,2,0,None
6,California,63366,2,0,None
6,California,63369,2,0,None
6,California,63374,2,0,None
6,California,63398,2,0,None
6,California,63404,3,0,None
6,California,63416,2,0,None
6,California,63423,3,0,None
6,California,63423,4,0,None
6,California,63432,2,0,None
6,California,63441,2,0,None
6,California,63510,4,0,None
6,California,63510,5,0,None
6,California,63530,2,0,None
6,California,63530,3,0,None
6,California,63530,4,0,None
6,California,63559,3,0,None
6,California,63601,2,0,None
6,California,63616,2,0,None
6,California,63616,3,0,None
8,Colorado,80016,3,0,None
8,Colorado,80069,3,0,None
8,Colorado,80075,2,0,None
8,Colorado,80075,3,0,None
8,Colorado,80084,2,0,None
8,Colorado,80100,3,0,None
8,Colorado,80100,4,0,None
8,Colorado,80115,2,0,None
8,Colorado,80227,2,0,None
8,Colorado,80238,2,0,None
8,Colorado,80310,2,0,None
8,Colorado,80361,2,0,None
8,Colorado,80414,2,0,None
8,Colorado,80414,3,0,None
8,Colorado,80470,2,0,None
9,Connecticut,90016,1,0,None
9,Connecticut,90025,1,0,None
9,Connecticut,90043,3,0,None
9,Connecticut,90057,1,42,"Other Working Vehicle (Not Construction, Maintenance, Utility, Police, Fire, or EMS Vehicle)"
9,Connecticut,90057,2,0,None
9,Connecticut,90057,3,0,None
9,Connecticut,90115,3,0,None
9,Connecticut,90115,4,0,None
9,Connecticut,90124,4,0,None
9,Connecticut,90198,2,0,None
9,Connecticut,90200,2,0,None
9,Connecticut,90200,3,0,None
9,Connecticut,90205,1,0,None
10,Delaware,100026,1,42,"Other Working Vehicle (Not Construction, Maintenance, Utility, Police, Fire, or EMS Vehicle)"
10,Delaware,100099,1,0,None
11,District of Columbia,110018,3,0,None
11,District of Columbia,110018,4,0,None
12,Florida,120024,2,0,None
12,Florida,120024,3,0,None
12,Florida,120032,2,0,None
12,Florida,120064,2,0,None
12,Florida,120064,3,0,None
12,Florida,120124,2,0,None
12,Florida,120129,4,0,None
12,Florida,120213,3,0,None
12,Florida,120218,3,0,None
12,Florida,120243,4,0,None
12,Florida,120276,2,0,None
12,Florida,120293,3,0,None
12,Florida,120293,4,0,None
12,Florida,120300,2,0,None
12,Florida,120382,2,0,None
12,Florida,120456,2,0,None
12,Florida,120561,7,0,None
12,Florida,120586,2,0,None
12,Florida,120586,3,0,None
12,Florida,120639,2,0,None
12,Florida,120639,3,0,None
12,Florida,120669,2,0,None
12,Florida,120684,2,0,None
12,Florida,120685,2,0,None
12,Florida,120722,2,0,None
12,Florida,120845,2,0,None
12,Florida,120924,2,0,None
12,Florida,120938,3,0,None
12,Florida,120964,2,0,None
12,Florida,120964,3,0,None
12,Florida,120964,4,0,None
12,Florida,120964,5,0,None
12,Florida,120972,2,0,None
12,Florida,121025,3,0,None
12,Florida,121105,2,0,None
12,Florida,121135,3,0,None
12,Florida,121149,2,0,None
12,Florida,121208,2,0,None
12,Florida,121379,2,0,None
12,Florida,121424,2,0,None
12,Florida,121502,2,0,None
12,Florida,121502,3,0,None
12,Florida,121502,4,0,None
12,Florida,121584,2,0,None
12,Florida,121588,2,0,None
12,Florida,121591,3,0,None
12,Florida,121627,2,0,None
12,Florida,121627,3,0,None
12,Florida,121631,2,0,None
12,Florida,121671,3,0,None
12,Florida,121691,2,0,None
12,Florida,121743,2,0,None
12,Florida,121785,3,0,None
12,Florida,121795,2,0,None
12,Florida,121817,3,0,None
12,Florida,121820,3,0,None
12,Florida,121832,2,0,None
12,Florida,121854,2,0,None
12,Florida,121915,3,0,None
12,Florida,121915,4,0,None
12,Florida,121915,5,0,None
12,Florida,121996,3,0,None
12,Florida,122020,2,0,None
12,Florida,122099,2,0,None
12,Florida,122125,3,0,None
12,Florida,122163,2,0,None
12,Florida,122186,2,0,None
12,Florida,122186,3,0,None
12,Florida,122213,3,0,None
12,Florida,122246,2,0,None
12,Florida,122442,2,0,None
12,Florida,122450,3,0,None
12,Florida,122450,4,0,None
12,Florida,122457,3,0,None
12,Florida,122457,4,0,None
12,Florida,122466,2,0,None
12,Florida,122538,2,0,None
12,Florida,122540,2,0,None
12,Florida,122722,2,0,None
12,Florida,122725,3,0,None
12,Florida,122984,2,0,None
12,Florida,122984,3,0,None
12,Florida,122988,2,0,None
12,Florida,123080,2,0,None
12,Florida,123108,2,0,None
12,Florida,123128,2,0,None
12,Florida,123175,2,0,None
12,Florida,123183,3,0,None
12,Florida,123216,2,0,None
12,Florida,123252,2,0,None
12,Florida,123272,2,0,None
12,Florida,123286,2,0,None
13,Georgia,130164,2,0,None
13,Georgia,130177,2,0,None
13,Georgia,130247,2,0,None
13,Georgia,130356,2,0,None
13,Georgia,130395,2,0,None
13,Georgia,130466,2,0,None
13,Georgia,130466,3,0,None
13,Georgia,130690,2,0,None
13,Georgia,130717,2,0,None
13,Georgia,130734,2,0,None
13,Georgia,130841,3,0,None
13,Georgia,130841,4,0,None
13,Georgia,130841,5,0,None
13,Georgia,130841,6,0,None
13,Georgia,130841,7,0,None
13,Georgia,130907,2,0,None
13,Georgia,130914,2,0,None
13,Georgia,131012,1,0,None
13,Georgia,131012,2,42,"Other Working Vehicle (Not Construction, Maintenance, Utility, Police, Fire, or EMS Vehicle)"
13,Georgia,131037,3,0,None
13,Georgia,131157,2,0,None
13,Georgia,131197,2,0,None
13,Georgia,131287,2,0,None
13,Georgia,131315,3,0,None
13,Georgia,131315,4,0,None
13,Georgia,131398,2,0,None
13,Georgia,131401,2,0,None
13,Georgia,131401,3,0,None
13,Georgia,131401,4,0,None
13,Georgia,131479,2,0,None
13,Georgia,131492,2,0,None
13,Georgia,131509,2,0,None
15,Hawaii,150004,2,42,"Other Working Vehicle (Not Construction, Maintenance, Utility, Police, Fire, or EMS Vehicle)"
15,Hawaii,150004,3,0,None
15,Hawaii,150053,2,0,None
15,Hawaii,150055,2,0,None
15,Hawaii,150055,3,0,None
16,Idaho,160040,2,0,None
16,Idaho,160145,2,0,None
17,Illinois,170058,2,0,None
17,Illinois,170059,2,0,None
17,Illinois,170063,2,0,None
17,Illinois,170063,3,0,None
17,Illinois,170063,4,0,None
17,Illinois,170075,2,0,None
17,Illinois,170090,2,0,None
17,Illinois,170090,3,0,None
17,Illinois,170090,4,0,None
17,Illinois,170090,5,0,None
17,Illinois,170195,3,0,None
17,Illinois,170216,2,0,None
17,Illinois,170216,3,0,None
17,Illinois,170216,4,0,None
17,Illinois,170216,5,0,None
17,Illinois,170217,3,0,None
17,Illinois,170251,2,0,None
17,Illinois,170272,2,0,None
17,Illinois,170272,3,0,None
17,Illinois,170272,4,0,None
17,Illinois,170272,5,0,None
17,Illinois,170277,2,0,None
17,Illinois,170279,2,0,None
17,Illinois,170422,3,0,None
17,Illinois,170423,3,0,None
17,Illinois,170439,2,0,None
17,Illinois,170440,2,0,None
17,Illinois,170455,2,0,None
17,Illinois,170466,2,0,None
17,Illinois,170478,4,0,None
17,Illinois,170499,2,0,None
17,Illinois,170511,2,0,None
17,Illinois,170533,2,0,None
17,Illinois,170541,2,0,None
17,Illinois,170554,4,0,None
17,Illinois,170554,5,0,None
17,Illinois,170554,6,0,None
17,Illinois,170554,7,0,None
17,Illinois,170610,3,0,None
17,Illinois,170631,2,0,None
17,Illinois,170670,2,0,None
17,Illinois,170670,3,0,None
17,Illinois,170708,2,0,None
17,Illinois,170859,2,0,None
17,Illinois,170889,2,0,None
17,Illinois,170889,3,0,None
17,Illinois,170889,4,0,None
17,Illinois,170889,5,0,None
17,Illinois,170889,6,0,None
17,Illinois,170915,2,0,None
17,Illinois,170915,3,0,None
17,Illinois,170915,4,0,None
17,Illinois,170959,3,0,None
17,Illinois,170959,4,0,None
17,Illinois,170964,2,0,None
17,Illinois,170979,2,0,None
17,Illinois,171046,2,0,None
17,Illinois,171059,3,0,None
17,Illinois,171070,2,0,None
17,Illinois,171073,3,0,None
17,Illinois,171077,2,0,None
17,Illinois,171077,3,0,None
17,Illinois,171083,2,0,None
17,Illinois,171083,3,0,None
17,Illinois,171083,4,0,None
17,Illinois,171094,4,0,None
17,Illinois,171097,2,0,None
18,Indiana,180070,2,0,None
18,Indiana,180146,4,0,None
18,Indiana,180170,2,0,None
18,Indiana,180174,2,0,None
18,Indiana,180174,3,0,None
18,Indiana,180191,2,0,None
18,Indiana,180196,2,0,None
18,Indiana,180214,2,0,None
18,Indiana,180223,4,0,None
18,Indiana,180234,2,0,None
18,Indiana,180234,3,0,None
18,Indiana,180244,2,0,None
18,Indiana,180266,2,0,None
18,Indiana,180284,2,0,None
18,Indiana,180294,2,0,None
18,Indiana,180324,2,0,None
18,Indiana,180324,3,0,None
18,Indiana,180324,4,0,None
18,Indiana,180340,2,0,None
18,Indiana,180365,2,0,None
18,Indiana,180386,2,0,None
18,Indiana,180439,2,0,None
18,Indiana,180445,2,0,None
18,Indiana,180446,2,0,None
18,Indiana,180491,2,0,None
18,Indiana,180491,3,0,None
18,Indiana,180491,4,0,None
18,Indiana,180494,2,0,None
18,Indiana,180513,2,0,None
18,Indiana,180513,3,0,None
18,Indiana,180513,4,0,None
18,Indiana,180513,5,0,None
18,Indiana,180513,6,0,None
18,Indiana,180513,7,0,None
18,Indiana,180543,2,0,None
18,Indiana,180570,2,0,None
18,Indiana,180570,3,0,None
18,Indiana,180603,2,0,None
18,Indiana,180691,2,0,None
18,Indiana,180726,3,0,None
18,Indiana,180726,4,0,None
18,Indiana,180736,2,0,None
18,Indiana,180738,2,0,None
18,Indiana,180771,3,0,None
18,Indiana,180771,4,0,None
18,Indiana,180791,2,0,None
18,Indiana,180805,2,0,None
18,Indiana,180808,2,0,None
18,Indiana,180810,2,0,None
18,Indiana,180825,2,0,None
18,Indiana,180827,2,0,None
19,Iowa,190117,2,0,None
19,Iowa,190165,2,0,None
20,Kansas,200113,2,0,None
20,Kansas,200206,2,0,None
20,Kansas,200271,2,0,None
21,Kentucky,210002,3,0,None
21,Kentucky,210002,4,0,None
21,Kentucky,210003,2,0,None
21,Kentucky,210035,3,0,None
21,Kentucky,210044,2,0,None
21,Kentucky,210061,2,0,None
21,Kentucky,210063,2,0,None
21,Kentucky,210083,2,0,None
21,Kentucky,210083,3,0,None
21,Kentucky,210106,2,0,None
21,Kentucky,210109,3,0,None
21,Kentucky,210109,4,0,None
21,Kentucky,210158,2,0,None
21,Kentucky,210158,3,0,None
21,Kentucky,210186,3,0,None
21,Kentucky,210197,2,0,None
21,Kentucky,210302,3,0,None
21,Kentucky,210302,4,0,None
21,Kentucky,210347,2,0,None
21,Kentucky,210347,3,0,None
21,Kentucky,210364,2,0,None
21,Kentucky,210497,2,0,None
21,Kentucky,210566,4,0,None
21,Kentucky,210624,3,0,None
21,Kentucky,210640,2,0,None
21,Kentucky,210649,2,0,None
21,Kentucky,210664,2,0,None
21,Kentucky,210702,3,0,None
22,Louisiana,220089,2,0,None
22,Louisiana,220089,3,0,None
22,Louisiana,220150,2,0,None
22,Louisiana,220167,2,0,None
22,Louisiana,220170,2,0,None
22,Louisiana,220232,2,0,None
22,Louisiana,220239,2,0,None
22,Louisiana,220239,3,0,None
22,Louisiana,220239,4,0,None
22,Louisiana,220239,5,0,None
22,Louisiana,220239,6,0,None
22,Louisiana,220239,7,0,None
22,Louisiana,220328,2,0,None
22,Louisiana,220356,2,0,None
22,Louisiana,220356,3,0,None
22,Louisiana,220379,2,0,None
22,Louisiana,220425,2,0,None
22,Louisiana,220432,2,0,None
22,Louisiana,220432,3,0,None
22,Louisiana,220432,4,0,None
22,Louisiana,220498,3,0,None
22,Louisiana,220498,4,0,None
22,Louisiana,220498,5,0,None
22,Louisiana,220529,2,0,None
22,Louisiana,220529,3,0,None
22,Louisiana,220529,4,0,None
22,Louisiana,220529,5,0,None
22,Louisiana,220538,3,0,None
22,Louisiana,220538,4,0,None
22,Louisiana,220538,5,0,None
22,Louisiana,220538,6,0,None
22,Louisiana,220566,2,0,None
22,Louisiana,220609,2,0,None
22,Louisiana,220680,2,0,None
22,Louisiana,220697,2,0,None
24,Maryland,240020,3,0,None
24,Maryland,240022,2,0,None
24,Maryland,240022,3,0,None
24,Maryland,240040,2,0,None
24,Maryland,240040,3,0,None
24,Maryland,240053,4,0,None
24,Maryland,240072,2,0,None
24,Maryland,240183,2,42,"Other Working Vehicle (Not Construction, Maintenance, Utility, Police, Fire, or EMS Vehicle)"
24,Maryland,240194,4,0,None
24,Maryland,240209,2,0,None
24,Maryland,240241,2,0,None
24,Maryland,240267,2,0,None
24,Maryland,240275,2,0,None
24,Maryland,240297,3,0,None
24,Maryland,240297,4,0,None
24,Maryland,240297,5,0,None
24,Maryland,240307,3,0,None
24,Maryland,240307,4,0,None
24,Maryland,240307,5,0,None
24,Maryland,240329,2,0,None
24,Maryland,240329,3,0,None
24,Maryland,240378,2,0,None
24,Maryland,240409,2,0,None
24,Maryland,240421,2,0,None
24,Maryland,240434,2,0,None
24,Maryland,240457,2,0,None
24,Maryland,240486,2,0,None
24,Maryland,240522,2,0,None
24,Maryland,240525,2,0,None
24,Maryland,240525,3,0,None
24,Maryland,240530,3,0,None
24,Maryland,240537,2,0,None
24,Maryland,240537,3,0,None
24,Maryland,240537,4,0,None
24,Maryland,240537,5,0,None
24,Maryland,240537,6,0,None
24,Maryland,240537,7,0,None
24,Maryland,240537,8,0,None
25,Massachusetts,250035,2,0,None
25,Massachusetts,250035,3,0,None
25,Massachusetts,250065,3,0,None
25,Massachusetts,250073,2,0,None
25,Massachusetts,250098,2,0,None
25,Massachusetts,250100,2,0,None
25,Massachusetts,250132,1,0,None
25,Massachusetts,250149,2,0,None
25,Massachusetts,250165,3,0,None
25,Massachusetts,250193,2,0,None
25,Massachusetts,250219,2,0,None
25,Massachusetts,250258,2,0,None
25,Massachusetts,250258,3,0,None
25,Massachusetts,250268,2,0,None
25,Massachusetts,250294,2,0,None
25,Massachusetts,250294,3,0,None
25,Massachusetts,250307,2,0,None
25,Massachusetts,250311,2,0,None
25,Massachusetts,250318,1,0,None
25,Massachusetts,250318,2,0,None
25,Massachusetts,250333,2,0,None
25,Massachusetts,250333,3,0,None
25,Massachusetts,250333,4,0,None
25,Massachusetts,250333,5,0,None
25,Massachusetts,250336,2,0,None
26,Michigan,260092,2,0,None
26,Michigan,260117,2,0,None
26,Michigan,260122,2,0,None
26,Michigan,260150,2,0,None
26,Michigan,260158,2,0,None
26,Michigan,260165,2,0,None
26,Michigan,260165,3,0,None
26,Michigan,260165,4,0,None
26,Michigan,260183,2,0,None
26,Michigan,260183,3,0,None
26,Michigan,260262,2,0,None
26,Michigan,260262,3,0,None
26,Michigan,260268,2,0,None
26,Michigan,260268,3,0,None
26,Michigan,260322,2,0,None
26,Michigan,260322,3,0,None
26,Michigan,260332,2,0,None
26,Michigan,260346,3,0,None
26,Michigan,260442,3,0,None
26,Michigan,260442,4,0,None
26,Michigan,260442,5,0,None
26,Michigan,260466,1,0,None
26,Michigan,260466,2,0,None
26,Michigan,260563,3,0,None
26,Michigan,260582,2,0,None
26,Michigan,260593,2,0,None
26,Michigan,260595,2,0,None
26,Michigan,260595,3,0,None
26,Michigan,260599,2,0,None
26,Michigan,260601,2,0,None
26,Michigan,260634,2,0,None
26,Michigan,260634,3,0,None
26,Michigan,260634,4,0,None
26,Michigan,260634,5,0,None
26,Michigan,260638,2,0,None
26,Michigan,260638,3,0,None
26,Michigan,260638,4,0,None
26,Michigan,260646,2,0,None
26,Michigan,260650,2,0,None
26,Michigan,260657,2,0,None
26,Michigan,260683,2,0,None
26,Michigan,260704,2,0,None
26,Michigan,260704,3,0,None
26,Michigan,260704,4,0,None
26,Michigan,260711,3,0,None
26,Michigan,260711,4,0,None
26,Michigan,260738,2,0,None
26,Michigan,260779,2,0,None
26,Michigan,260785,3,0,None
26,Michigan,260807,2,0,None
26,Michigan,260936,2,0,None
26,Michigan,260966,2,0,None
26,Michigan,260971,2,0,None
26,Michigan,260971,3,0,None
26,Michigan,260980,2,0,None
26,Michigan,260987,3,0,None
27,Minnesota,270007,2,0,None
27,Minnesota,270069,2,42,"Other Working Vehicle (Not Construction, Maintenance, Utility, Police, Fire, or EMS Vehicle)"
27,Minnesota,270073,3,0,None
27,Minnesota,270079,2,0,None
27,Minnesota,270079,3,0,None
27,Minnesota,270150,2,0,None
27,Minnesota,270150,3,0,None
27,Minnesota,270150,4,0,None
27,Minnesota,270150,5,0,None
27,Minnesota,270205,2,0,None
27,Minnesota,270205,3,0,None
27,Minnesota,270279,3,0,None
27,Minnesota,270279,4,0,None
27,Minnesota,270305,2,0,None
27,Minnesota,270373,2,0,None
28,Mississippi,280132,1,0,None
28,Mississippi,280158,2,0,None
28,Mississippi,280246,3,0,None
28,Mississippi,280286,2,0,None
28,Mississippi,280287,2,0,None
28,Mississippi,280339,3,0,None
28,Mississippi,280479,3,0,None
28,Mississippi,280479,4,0,None
28,Mississippi,280619,1,0,None
29,Missouri,290001,2,0,None
29,Missouri,290001,3,0,None
29,Missouri,290012,2,0,None
29,Missouri,290083,3,0,None
29,Missouri,290083,4,0,None
29,Missouri,290084,2,0,None
29,Missouri,290121,6,0,None
29,Missouri,290121,7,0,None
29,Missouri,290149,2,0,None
29,Missouri,290200,2,0,None
29,Missouri,290210,3,0,None
29,Missouri,290230,2,0,None
29,Missouri,290352,2,0,None
29,Missouri,290379,2,0,None
29,Missouri,290423,4,0,None
29,Missouri,290440,3,0,None
29,Missouri,290447,2,0,None
29,Missouri,290522,2,0,None
29,Missouri,290523,3,0,None
29,Missouri,290529,2,0,None
29,Missouri,290530,2,0,None
29,Missouri,290545,4,0,None
29,Missouri,290545,5,0,None
29,Missouri,290623,2,0,None
29,Missouri,290762,2,0,None
29,Missouri,290768,3,0,None
29,Missouri,290768,4,0,None
29,Missouri,290827,2,0,None
29,Missouri,290846,1,0,None
29,Missouri,290875,3,0,None
29,Missouri,290914,2,0,None
30,Montana,300148,2,0,None
30,Montana,300155,2,42,"Other Working Vehicle (Not Construction, Maintenance, Utility, Police, Fire, or EMS Vehicle)"
30,Montana,300167,2,0,None
31,Nebraska,310003,2,42,"Other Working Vehicle (Not Construction, Maintenance, Utility, Police, Fire, or EMS Vehicle)"
31,Nebraska,310058,2,0,None
31,Nebraska,310201,2,0,None
32,Nevada,320030,2,0,None
32,Nevada,320111,3,0,None
32,Nevada,320111,5,0,None
32,Nevada,320160,2,0,None
32,Nevada,320160,3,0,None
32,Nevada,320173,2,0,None
32,Nevada,320186,2,0,None
32,Nevada,320255,2,0,None
33,New Hampshire,330003,2,0,None
34,New Jersey,340019,2,0,None
34,New Jersey,340020,2,0,None
34,New Jersey,340065,3,0,None
34,New Jersey,340079,2,0,None
34,New Jersey,340090,3,0,None
34,New Jersey,340144,2,0,None
34,New Jersey,340144,3,0,None
34,New Jersey,340144,4,0,None
34,New Jersey,340156,2,0,None
34,New Jersey,340171,2,0,None
34,New Jersey,340174,2,0,None
34,New Jersey,340196,2,0,None
34,New Jersey,340196,3,0,None
34,New Jersey,340218,2,0,None
34,New Jersey,340221,2,0,None
34,New Jersey,340224,3,0,None
34,New Jersey,340246,1,0,None
34,New Jersey,340246,2,0,None
34,New Jersey,340294,2,0,None
34,New Jersey,340373,2,0,None
34,New Jersey,340389,2,0,None
34,New Jersey,340411,3,0,None
34,New Jersey,340411,4,0,None
34,New Jersey,340411,5,0,None
34,New Jersey,340431,2,0,None
34,New Jersey,340439,4,0,None
34,New Jersey,340439,5,0,None
34,New Jersey,340439,6,0,None
34,New Jersey,340478,2,0,None
34,New Jersey,340478,3,0,None
34,New Jersey,340478,4,0,None
34,New Jersey,340478,5,0,None
34,New Jersey,340480,3,0,None
34,New Jersey,340488,2,0,None
34,New Jersey,340494,2,0,None
34,New Jersey,340494,3,0,None
34,New Jersey,340494,4,0,None
