ST_CASE,VEH_NO,PER_NO,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10
10092,2,1,0,0,0,0,0,0,0,0,0,0
10093,1,1,0,0,0,6,22,0,0,0,0,0
10094,1,1,28,0,0,0,0,26,0,12,0,14
10095,1,1,0,0,0,0,0,0,0,0,0,0
10095,2,1,0,0,0,0,0,0,0,0,0,0
10096,1,1,0,0,0,0,0,0,0,0,0,0
10096,2,1,0,0,0,13,0,0,0,0,0,0
10096,3,1,0,0,0,0,0,0,0,0,0,0
10097,1,1,0,0,0,0,0,0,0,0,0,0
10097,2,1,0,0,0,0,0,0,0,0,0,0
10098,1,1,0,0,0,0,0,0,0,0,0,0
10098,2,1,0,0,0,0,0,0,0,0,0,0
10099,1,1,9,9,9,9,9,9,9,9,9,9
10099,2,1,0,0,0,0,0,0,0,0,0,0
10100,1,1,0,0,0,0,0,0,0,0,0,0
10101,1,1,0,17,17,5,0,0,0,0,0,0
10102,1,1,3,3,3,3,3,3,3,3,3,3
10103,0,1,0,0,0,0,0,0,0,0,0,0
10103,1,1,0,0,0,0,0,0,0,0,0,0
10104,0,1,23,23,23,23,23,23,23,23,23,23
10104,1,1,0,0,0,0,0,0,0,0,0,0
10105,1,1,0,0,0,0,0,0,0,0,0,0
10105,2,1,0,0,0,0,0,0,0,0,0,0
10106,1,1,0,0,0,0,0,0,0,0,0,0
10106,2,1,0,0,0,0,0,0,0,0,0,0
10106,3,1,6,6,6,6,6,6,6,6,6,6
10106,4,1,0,0,0,0,0,0,0,0,0,0
10106,5,1,0,0,0,0,0,0,0,0,0,0
10107,1,1,0,0,0,0,0,0,0,0,0,0
10108,1,2,0,0,0,12,0,15,0,0,9,0
10109,1,1,34,34,34,34,34,34,34,34,34,34
10109,2,1,0,0,0,0,0,0,0,0,0,0
10110,1,1,0,0,0,0,0,0,0,0,0,0
10110,2,1,0,0,0,0,0,0,0,0,0,0
10111,1,1,0,0,0,0,0,0,0,0,0,0
10111,2,1,0,11,10,0,0,0,0,0,0,0
10112,0,1,0,17,33,9,5,0,54,30,0,0
10112,1,1,0,0,18,0,0,0,11,0,0,0
10113,1,1,0,0,0,0,0,0,0,0,0,0
10113,2,1,0,0,0,0,0,0,0,0,0,0
10114,1,1,0,0,0,0,0,0,25,21,0,0
10114,2,1,0,0,0,0,0,0,0,0,0,0
10115,0,1,18,26,0,0,0,0,0,0,25,0
10115,1,1,0,0,0,0,0,14,0,0,0,0
10116,1,1,0,0,0,0,0,0,0,0,0,0
10116,2,1,0,0,0,0,0,0,0,0,0,0
10117,1,1,5,5,5,5,5,5,5,5,5,5
10117,2,1,0,0,0,0,0,0,0,0,0,0
10118,1,1,8,8,8,8,8,8,8,8,8,8
10118,2,1,0,6,0,0,0,0,0,0,3,0
10119,1,1,0,0,0,0,0,0,0,0,0,0
10120,0,1,0,0,0,0,0,0,9,11,0,6
10120,1,1,0,0,0,0,0,0,0,0,0,0
10121,1,1,0,0,0,0,0,0,0,0,0,0
10121,2,1,0,0,0,0,0,0,0,0,0,0
10122,1,1,0,0,0,0,0,0,0,0,0,0
10122,2,1,0,0,0,0,0,0,0,0,0,0
10123,0,1,10,0,0,0,7,23,12,0,41,11
10123,1,1,15,0,0,0,0,0,0,0,0,0
10124,1,1,0,0,0,0,0,0,0,0,0,0
10124,2,1,0,0,0,0,0,0,0,0,0,0
10125,1,1,0,0,0,0,0,0,0,0,0,0
10126,1,1,25,25,25,25,25,25,25,25,25,25
10127,1,1,0,0,0,0,0,0,0,0,0,0
10127,2,1,0,0,0,0,0,0,0,0,0,0
10128,1,1,9,9,9,9,9,9,9,9,9,9
10128,2,1,0,0,14,0,0,0,0,11,0,0
10129,1,1,0,0,0,0,0,0,0,0,0,0
10129,2,1,0,0,0,0,0,0,0,0,0,0
10130,1,1,0,0,0,0,0,0,0,0,0,0
10130,2,1,0,0,0,0,0,0,0,11,0,0
10131,0,1,0,0,0,0,0,0,0,0,32,0
10131,1,1,0,0,0,0,0,22,0,0,0,0
10132,1,1,0,0,0,0,0,0,0,0,0,0
10133,1,1,24,0,0,0,9,0,16,0,0,16
10133,2,1,0,0,0,0,0,0,0,0,0,0
10134,1,1,24,24,24,24,24,24,24,24,24,24
10135,1,1,0,0,0,0,0,0,0,0,0,0
10135,2,1,0,0,0,0,0,0,0,0,0,0
10136,1,1,0,0,0,0,0,0,0,0,0,0
10137,1,1,0,0,0,0,0,0,0,0,0,0
10138,1,1,0,0,0,0,0,0,0,0,0,0
10138,2,1,0,19,0,0,0,0,0,0,0,0
10139,1,1,0,0,0,0,0,0,0,0,0,0
10140,1,1,0,13,0,0,0,0,0,0,20,16
10140,2,1,0,0,0,0,0,0,0,0,0,0
10140,3,1,0,0,0,0,0,0,19,0,0,0
10141,1,1,10,10,10,10,10,10,10,10,10,10
10141,2,1,0,25,0,0,0,0,11,0,0,0
10142,1,1,0,0,17,0,0,0,0,18,0,0
10143,1,1,0,0,0,0,0,0,0,0,0,0
10144,1,1,0,0,0,0,0,0,0,0,0,0
10145,1,1,17,17,17,17,17,17,17,17,17,17
10146,1,1,0,0,0,0,0,0,0,0,0,0
10146,2,1,0,0,0,0,0,0,0,0,0,0
10147,1,1,8,8,8,8,8,8,8,8,8,8
10147,2,1,0,0,0,0,0,0,0,0,0,0
10148,1,1,0,0,0,0,0,0,0,0,0,0
10148,2,1,0,0,0,0,0,0,0,0,37,0
10149,1,1,0,0,0,0,0,0,0,0,0,0
10150,1,1,0,0,0,0,0,0,0,0,0,0
10151,1,1,26,26,26,26,26,26,26,26,26,26
10152,1,1,0,0,0,0,0,0,0,0,0,0
10153,1,1,38,38,38,38,38,38,38,38,38,38
10154,1,1,0,0,0,0,0,0,0,0,0,0
10155,1,1,0,0,0,17,9,0,17,0,0,12
10155,2,1,0,11,10,19,0,5,0,0,9,0
10156,0,1,8,18,0,0,0,0,0,0,11,0
10156,1,1,0,0,0,0,0,0,0,0,0,0
10157,1,1,0,0,0,0,0,0,0,0,0,0
10158,1,1,0,0,0,0,0,0,0,0,0,0
10159,1,1,0,0,0,0,0,0,0,0,0,0
10159,2,1,0,0,0,0,0,0,0,0,0,0
10160,1,1,31,31,31,31,31,31,31,31,31,31
10161,1,1,0,0,23,0,0,0,0,0,0,25
10162,0,1,25,25,25,25,25,25,25,25,25,25
10162,0,2,8,8,8,8,8,8,8,8,8,8
10162,1,1,0,0,0,0,0,0,0,0,0,20
10163,1,1,19,19,19,19,19,19,19,19,19,19
10164,1,1,21,0,25,13,0,4,32,0,27,0
10165,1,1,6,6,6,6,6,6,6,6,6,6
10165,2,1,0,0,0,0,16,0,0,0,0,0
10166,1,1,0,14,0,0,0,3,7,0,25,27
10166,2,1,0,0,0,0,0,0,0,0,0,0
10167,1,1,0,0,0,0,0,0,0,0,0,0
10168,1,1,0,0,0,0,0,0,0,0,0,0
10169,0,1,0,0,0,0,0,0,0,0,0,0
10169,1,1,0,0,0,0,0,0,0,0,0,0
10169,3,1,0,0,0,0,0,0,0,0,0,0
10170,1,1,0,0,0,14,0,0,0,0,0,0
10171,1,1,19,19,19,19,19,19,19,19,19,19
10172,0,1,18,18,18,18,18,18,18,18,18,18
10172,1,1,35,13,0,0,0,13,0,0,34,5
10173,0,1,18,0,0,0,18,0,0,12,17,0
10173,1,1,0,0,11,0,14,15,0,0,0,23
10174,0,1,10,0,10,25,20,0,19,20,33,16
10174,1,1,0,0,0,0,0,0,0,0,0,0
10174,2,1,0,0,0,0,0,0,0,0,0,0
10176,1,1,19,0,0,0,0,0,0,0,0,0
10176,2,1,11,11,11,11,11,11,11,11,11,11
10177,1,1,18,18,18,18,18,18,18,18,18,18
10178,1,1,0,0,0,0,0,0,0,0,0,0
10178,2,1,0,0,0,0,0,0,0,0,0,0
10179,1,1,0,0,0,0,0,0,0,0,0,0
10179,2,1,0,0,0,0,11,0,0,14,0,0
10180,1,1,19,22,0,0,25,0,0,24,0,0
10181,1,1,0,0,0,0,0,0,0,0,0,0
10181,2,1,6,0,0,0,0,0,0,0,0,0
10182,1,1,0,0,2,0,0,0,0,0,0,0
10183,1,1,0,0,0,0,0,0,0,0,0,0
10183,2,1,0,0,0,0,0,0,0,0,0,0
10184,1,1,15,15,15,15,15,15,15,15,15,15
10185,1,1,10,10,10,10,10,10,10,10,10,10
10186,0,1,0,0,0,0,0,0,0,0,0,0
10186,1,1,0,0,0,0,0,0,0,0,0,0
10187,1,1,0,0,0,0,0,0,0,0,0,0
10188,1,1,0,0,0,0,0,0,0,0,0,0
10190,0,1,0,0,0,0,0,0,0,0,0,0
10190,1,1,0,0,0,0,0,0,0,0,0,0
10191,1,1,0,0,0,0,0,0,0,0,0,0
10192,1,1,0,0,0,0,0,0,0,0,0,0
10192,2,1,0,0,0,0,0,0,0,0,0,0
10192,3,1,0,0,0,0,0,0,0,0,0,0
10193,1,1,0,0,0,0,0,0,0,0,0,0
10193,2,1,0,0,0,0,0,0,0,0,0,0
10194,1,1,0,17,13,14,6,0,20,20,20,0
10195,0,1,0,0,0,0,0,0,0,0,0,0
10195,0,2,0,0,0,0,0,0,0,0,0,0
10195,0,3,0,0,22,0,0,0,0,0,0,0
10195,1,1,0,0,0,0,0,0,0,0,0,0
10196,1,1,10,0,0,0,0,0,19,0,0,7
10197,1,1,0,0,0,0,0,0,0,0,0,0
10197,2,1,0,0,0,0,0,0,0,0,0,0
10198,1,1,0,0,0,0,0,0,0,0,0,0
10198,2,1,0,0,0,0,0,0,0,0,0,0
10199,1,1,0,0,0,0,0,4,0,17,9,0
10199,2,1,0,0,0,0,0,0,0,0,0,0
10199,3,1,0,0,0,0,0,0,0,0,0,0
10199,4,1,0,0,0,0,0,0,0,0,0,0
10200,1,1,28,28,28,28,28,28,28,28,28,28
10200,2,1,0,0,0,0,0,0,0,0,0,0
10201,1,1,0,16,0,6,0,0,0,0,0,22
10201,2,1,0,13,0,0,8,13,0,0,0,0
10202,1,1,0,0,0,0,3,0,0,0,0,0
10203,1,1,0,4,18,0,32,19,16,0,22,0
10204,1,1,0,0,0,0,0,0,0,0,0,0
10205,1,1,14,0,18,11,0,0,21,27,17,15
10206,1,1,8,8,8,8,8,8,8,8,8,8
10207,1,1,0,0,0,0,0,0,0,0,0,0
10207,2,1,10,0,0,0,0,0,0,0,0,0
10208,1,1,0,0,0,0,0,0,0,0,0,0
10209,0,1,0,0,0,0,0,0,0,0,0,0
10209,1,1,14,14,14,14,14,14,14,14,14,14
10210,1,1,0,0,0,0,0,0,0,0,0,0
10211,1,1,0,0,0,0,0,0,0,0,0,0
10211,2,1,0,0,0,0,0,0,0,0,0,13
10212,1,1,0,0,0,0,0,0,0,0,0,0
10213,1,1,9,9,9,9,9,9,9,9,9,9
10214,1,1,13,0,0,13,6,0,0,20,13,0
10215,1,1,13,13,13,13,13,13,13,13,13,13
10216,1,1,0,0,0,0,0,0,0,0,0,0
10217,1,1,0,0,0,0,0,0,0,0,0,0
10218,1,1,0,0,0,0,0,0,0,0,0,0
10218,2,1,0,0,0,0,0,0,0,0,0,0
10219,1,1,0,0,0,0,0,0,0,0,0,0
10220,1,1,0,0,0,0,0,0,0,0,0,0
10221,1,1,0,0,0,0,0,0,0,0,0,0
10222,1,1,0,0,0,0,0,0,0,0,0,0
10222,2,1,0,0,0,0,0,0,0,0,0,0
10223,1,1,17,17,17,17,17,17,17,17,17,17
10224,1,1,0,0,0,0,0,0,0,0,0,0
10225,1,1,0,0,0,0,0,0,0,0,0,0
10226,1,1,0,0,0,0,34,0,0,0,0,0
10226,2,1,0,0,0,0,0,0,0,0,0,0
10227,1,1,0,0,0,0,0,0,0,0,0,0
10228,1,1,0,0,0,0,0,0,0,0,0,0
10228,2,1,0,0,0,0,0,0,0,0,0,0
10229,1,1,61,61,61,61,61,61,61,61,61,61
10230,1,1,0,0,0,0,0,0,0,0,0,0
10231,1,1,2,2,2,2,2,2,2,2,2,2
10232,1,1,0,0,0,0,0,0,0,0,0,0
10232,2,1,0,3,0,0,0,0,0,0,0,0
10233,1,1,6,6,6,6,6,6,6,6,6,6
10233,2,1,0,0,0,0,0,0,0,0,0,0
10234,1,1,0,0,0,0,0,0,0,0,0,31
10235,1,1,0,0,14,27,0,0,15,0,0,23
10236,1,1,18,18,18,18,18,18,18,18,18,18
10236,2,1,0,0,0,0,0,0,0,0,0,0
10237,1,1,0,0,0,0,0,0,0,0,0,0
10238,0,1,0,0,25,19,0,0,0,0,0,0
10238,1,1,0,0,0,0,0,0,0,0,0,0
10239,0,1,0,0,0,0,0,0,0,0,0,0
10239,1,1,0,0,0,0,0,0,0,0,0,0
10239,2,1,0,0,0,0,0,0,0,0,0,0
10240,1,1,0,0,0,0,0,0,0,0,0,0
10240,2,1,0,0,0,0,0,0,0,0,0,0
10242,0,1,0,0,0,0,0,0,0,40,0,0
10242,1,1,0,0,0,0,0,0,0,0,0,0
10243,0,1,0,0,0,0,0,0,0,0,0,0
10243,1,1,0,0,0,0,0,12,0,0,0,22
10244,1,1,0,0,0,0,0,27,0,0,0,0
10245,1,1,10,17,0,0,0,0,0,0,0,0
10245,2,1,0,0,0,0,0,0,0,0,0,0
10246,1,1,5,5,5,5,5,5,5,5,5,5
10247,1,1,24,0,0,24,5,17,12,0,9,15
10248,0,1,0,0,0,0,0,10,0,0,0,0
10248,1,1,0,0,0,0,0,0,0,0,0,0
10249,1,1,0,0,0,0,0,0,0,0,0,0
10249,2,1,0,0,0,0,0,0,0,0,0,0
10249,3,1,0,0,0,0,0,0,0,0,0,0
10250,1,1,0,0,0,0,0,0,0,0,0,0
10251,1,1,0,0,0,0,0,0,0,0,0,0
10252,1,1,0,0,0,0,0,0,0,0,0,0
10252,2,1,0,0,0,0,0,0,0,0,0,0
10253,1,1,0,0,0,0,0,0,0,0,0,0
10254,1,1,5,5,5,5,5,5,5,5,5,5
10255,1,1,0,0,0,0,0,0,0,0,0,0
10255,2,1,0,0,0,0,0,0,0,0,0,0
10256,1,1,0,0,0,0,0,0,0,0,0,0
10256,2,1,0,21,7,0,0,0,13,0,0,0
10257,1,1,0,0,0,0,0,0,0,0,0,0
10257,2,1,0,0,0,0,0,0,0,0,0,0
10258,1,1,0,0,0,0,0,0,0,0,0,0
10259,1,1,21,21,21,21,21,21,21,21,21,21
10260,1,1,0,0,0,0,0,0,0,0,0,0
10260,2,1,0,0,0,0,0,0,0,0,0,0
10260,3,1,0,0,0,0,0,0,0,0,0,0
10261,0,1,0,0,0,0,0,0,0,0,0,0
10261,0,2,0,0,10,0,7,0,19,2,0,5
10261,1,1,0,0,10,25,19,12,0,0,0,0
10262,1,1,0,0,0,0,0,0,0,0,0,0
10263,1,1,0,0,0,0,0,0,0,0,0,0
10263,2,1,0,0,0,0,0,0,0,0,0,0
10264,1,1,20,10,0,0,0,0,0,0,0,0
10264,2,1,0,0,0,0,0,0,0,0,0,0
10265,1,1,13,13,13,13,13,13,13,13,13,13
10266,1,1,14,14,14,14,14,14,14,14,14,14
10267,1,1,24,24,24,24,24,24,24,24,24,24
10267,2,1,8,0,0,0,7,0,0,0,0,0
10267,3,1,0,0,0,0,0,0,0,0,0,14
10268,1,1,0,0,0,0,0,0,0,0,0,0
10268,2,1,0,0,0,0,0,0,0,0,0,0
10269,0,1,0,0,0,0,0,0,0,0,0,0
10269,1,1,6,6,0,0,0,0,0,0,0,11
10270,0,1,0,0,0,0,0,0,0,0,0,0
10270,1,1,19,19,19,19,19,19,19,19,19,19
10271,1,1,0,0,0,0,0,0,0,0,0,0
10272,1,1,0,0,0,0,0,0,0,0,0,0
10272,2,1,0,0,0,0,0,0,0,0,0,0
10273,1,1,0,0,0,0,0,0,0,0,0,0
10273,2,1,0,0,0,0,0,0,0,0,0,0
10274,1,1,0,0,0,0,0,0,0,0,0,0
10275,1,1,0,0,0,0,0,0,0,0,0,0
10276,1,1,3,3,3,3,3,3,3,3,3,3
10276,2,1,0,0,0,0,0,0,0,0,0,0
10277,1,1,0,0,0,0,0,0,0,0,0,0
10277,2,1,0,0,0,0,0,0,0,0,0,0
10278,1,1,0,0,0,0,0,0,0,0,0,0
10278,2,1,0,0,0,0,0,0,0,0,0,0
10279,1,1,0,0,0,0,0,0,0,0,0,0
10279,2,1,0,0,0,0,0,0,0,0,0,0
10279,3,1,0,0,0,0,0,0,0,0,0,0
10279,4,1,0,0,0,0,0,0,0,0,0,0
10280,1,1,0,0,0,0,0,0,0,0,0,0
10281,1,1,17,17,17,17,17,17,17,17,17,17
10282,1,1,0,0,0,0,0,0,0,0,0,0
10282,2,1,0,0,0,0,0,0,0,0,0,0
10283,1,1,19,19,19,19,19,19,19,19,19,19
10284,1,1,14,14,14,14,14,14,14,14,14,14
10285,1,1,10,10,10,10,10,10,10,10,10,10
10286,1,1,13,0,0,0,0,0,26,0,28,0
10287,1,1,0,0,0,0,0,0,0,0,0,0
10288,1,1,0,0,0,39,0,0,10,0,6,0
10288,2,1,0,0,0,0,0,0,0,0,0,0
10289,1,1,0,0,0,0,0,0,0,0,0,0
10290,1,1,0,0,0,0,0,0,0,0,0,0
10291,1,1,0,0,24,0,21,17,0,0,0,0
10292,1,1,0,0,0,0,0,0,0,0,0,0
10292,2,1,0,0,0,0,0,0,0,0,0,0
10293,1,1,0,0,0,0,0,0,10,0,0,0
10293,2,1,0,0,0,0,0,0,0,0,0,0
10294,1,1,0,0,0,0,0,0,0,0,0,0
10294,2,1,0,0,0,0,0,0,0,0,0,0
10295,1,1,6,0,0,13,12,0,15,0,0,0
10296,1,1,0,0,0,0,0,0,0,0,0,0
10296,2,1,0,0,0,0,0,0,0,0,0,0
10297,1,1,0,0,0,0,0,0,0,0,0,0
10298,1,1,0,0,0,0,0,0,0,0,0,0
10298,2,1,0,0,0,0,0,0,0,0,0,0
10299,1,1,0,0,19,0,0,10,5,13,32,0
10300,1,1,6,6,6,6,6,6,6,6,6,6
10300,2,1,0,0,0,0,0,0,0,0,0,0
10301,1,1,0,0,0,0,0,0,0,0,0,0
10301,2,1,0,0,0,0,0,0,0,0,0,0
10302,1,1,15,0,19,0,7,14,22,0,0,23
10303,1,1,24,24,24,24,24,24,24,24,24,24
10303,2,1,0,0,0,6,0,0,18,0,0,0
10304,1,1,8,8,8,8,8,8,8,8,8,8
10305,1,1,0,0,28,0,0,0,0,0,0,0
10305,2,1,0,0,0,0,0,0,0,0,0,0
10306,1,1,11,0,0,0,0,0,0,0,0,0
10306,2,1,0,0,0,0,0,0,0,0,0,0
10307,1,1,27,0,11,0,11,0,19,0,0,11
10308,0,1,0,0,0,0,0,0,0,0,0,0
10308,1,1,0,0,0,0,0,0,0,0,0,0
10309,0,1,0,0,0,0,0,0,0,0,0,0
10309,1,1,19,0,0,0,0,0,17,0,0,9
10310,0,1,36,0,0,0,0,34,16,0,0,0
10310,1,1,0,0,0,0,0,0,0,0,0,0
10311,1,1,0,0,0,0,33,0,0,0,0,0
10311,2,1,0,0,0,7,0,0,0,0,0,0
